world,-56,62,664
world,-91,66,649
world,-75,62,750
world,-74,58,679
world,-76,61,708
world,-32,62,773
world,-24,62,784
world,-122,63,683
world,-88,63,662
world,-84,62,717
world,-40,62,675
world,-129,59,736
world,-57,62,696
world,-28,62,686
world,1145,59,-871
world,-41,62,707
world,10,62,904
world,-90,63,694
world,-15,62,667
world,-111,68,681
world,-11,62,678
world,-77,63,663
world,-47,62,730
world,-71,62,686
world,-64,62,751
world,-122,101,748
world,-111,63,684
world_nether,-24,58,112
world,-104,63,749
world,-102,67,681
world,-73,62,718
world,-68,67,660
world,-107,62,739
world,1,62,899
world,-1,62,899
world,-85,62,741
world,-80,67,683
world,-62,62,687
world,-22,62,656
world,-93,63,750
world,-94,62,708
world,-87,62,773
world,-89,67,650
world,-62,59,690
world,-63,62,719
world,-96,62,740
world,-46,62,698
world,-74,62,742
world,-35,62,700
world,-52,62,721
world,-121,63,675
world,-36,62,732
world,-17,62,690
world,-83,62,709
world,-76,62,774
world,-92,66,673
world,-86,61,699
world,-26,62,743
world,-94,62,692
world,-88,61,715
world,-62,62,671
world,-140,63,690
world,-59,58,697
world,-46,62,682
world,-56,57,720
world,-91,60,705
world,-69,62,638
world,-63,62,703
world,-122,58,739
world,-96,62,724
world,-49,63,659
world,-113,66,113
world,-47,62,714
world,-71,62,670
world,-64,62,735
world,-67,64,722
world,-280,62,787
world,-74,71,687
world,-53,62,737
world,-80,60,706
world,-26,62,727
world,-136,52,736
world,-55,60,685
world,-61,62,639
world,-54,62,769
world,-92,62,660
world,-85,62,725
world,-44,62,618
world,-37,62,748
world_nether,-38,80,-50
world,-75,54,994
world,3,62,665
world,-60,64,723
world,-119,62,746
world,-18,62,738
world,-34,62,652
world,-104,62,683
world,-97,62,748
world,-92,67,690
world,-72,62,694
world,-106,62,715
world,-51,62,673
world,172,65,-509
world,-35,62,684
world,-108,62,747
world,-17,62,674
world,-52,62,705
world,-74,62,726
world,-38,63,661
world,-84,59,720
world,-86,62,749
world,-30,68,692
world,-58,62,728
world,-42,62,739
world,-90,60,697
world,-20,62,697
world,-14,62,708
world,-92,73,687
world,-95,62,716
world,-70,62,662
world,-64,61,685
world,-29,62,750
world,-50,62,641
world,-117,62,746
world,-92,62,692
world,-86,61,715
world,-61,62,671
world,-30,62,661
world,-45,62,682
world,-88,61,747
world,-55,57,720
world,-89,60,705
world,-18,62,770
world,-89,67,666
world,-94,62,724
world_nether,-38,80,-48
world,-66,63,680
world,-83,65,689
world,-62,62,703
world,-67,62,638
world,-106,62,747
world,-51,62,705
world,-37,63,661
world,-70,59,697
world,-72,62,726
world,-75,61,716
world,-35,62,716
world,-52,62,737
world,-10,65,715
world,-17,62,706
world,-78,60,706
world,-90,66,657
world,-74,62,758
world,-54,60,685
world,-60,62,639
world,-92,66,689
world,-90,62,660
world,-83,62,725
world_nether,-40,80,-52
world,-43,62,618
world,-75,35,994
world,-36,62,748
world,-91,65,648
world,-42,62,771
world_nether,-24,58,110
world,-68,62,662
world,-63,61,685
world,-49,62,641
world,-33,62,652
world,-95,62,748
world,-70,62,694
world,-104,62,715
world,-29,62,782
world,-50,62,673
world,-34,62,684
world,-30,67,691
world,-83,58,678
world,-85,61,707
world,-40,62,707
world,-59,63,673
world,-116,62,738
world,-111,67,680
world,-88,63,694
world,-19,62,665
world_nether,8,80,104
world,-84,62,749
world,-79,67,691
world,-29,63,663
world,-57,62,728
world,-94,61,674
world,-88,60,697
world,-299,63,786
world,-56,56,702
world,-93,62,716
world,-88,67,658
world,-33,62,636
world,-50,62,657
world,-76,63,655
world,-116,50,734
world,-70,62,678
world,-10,62,735
world,-121,101,740
world,-51,62,689
world,-72,62,710
world,-21,62,777
world,-110,63,676
world,-34,62,668
world,-25,62,679
world,-65,62,775
world,-67,67,652
world,-106,62,731
world,-58,62,744
world,-93,62,700
world,19,10,649
world,-86,62,765
world,-41,62,723
world_nether,-16,56,120
world,-60,60,692
world,-65,63,656
world,-110,74,670
world,-20,62,713
world,-74,63,623
world,-14,62,724
world,-96,61,690
world,-59,62,776
world,-73,62,734
world_nether,-38,80,-49
world,-55,62,648
world,-59,63,657
world,-116,62,722
world,-56,62,680
world,-123,48,738
world,-82,62,701
world,-75,62,766
world,-40,62,691
world,-85,61,691
world,-57,62,712
world,-97,61,714
world,-46,62,714
world,-22,62,672
world,-74,70,686
world,-65,64,722
world,-15,62,683
world,-109,63,668
world,-63,62,735
world,-134,61,735
world,-47,62,746
world,-99,61,746
world,-80,66,666
world,-71,62,702
world,-64,62,767
world,-54,62,616
world,-23,62,736
world,-108,75,671
world,-74,61,692
